,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
mcf7+IFNB_RAPGEF1,0.24927469,0.52,0.09290092,0.44232207692474085,0.52,0,25,5,mcf7+IFNB
mcf7+IFNB_STAT1,0.37421006,0.7777777777777778,0.35736945,0.7500826026610474,0.5555555555555556,5,4,5,mcf7+IFNB
mcf7+IFNB_TRIM22,0.031719733,0.92,0.12481144,0.6781952426440786,0.44,0,25,5,mcf7+IFNB
a549+INS_COPS4,0.32790616,0.76,0.27353618,0.6761266007011436,0.56,0,25,6,a549+INS
a549+INS_SP1,0.05503234,1.0,0.29272333,1.017001913290305,0.0,0,1,6,a549+INS
a549+INS_TTF2,0.16248299,0.88,0.54357916,0.6986249894066243,0.56,0,25,6,a549+INS
ht29+IFNB_ADAR,0.1442829,0.64,0.12628923,1.0810938423943548,0.44,0,25,6,ht29+IFNB
ht29+IFNB_IFNAR2,0.10217894,1.0,1.8459482,0.28699553229112346,1.0,0,25,6,ht29+IFNB
ht29+IFNB_TRIM21,0.063664906,0.64,0.083374545,0.7145805471197103,0.56,0,25,6,ht29+IFNB
ht29+TGFB_PPP2CA,0.07907731,0.76,0.07315342,0.5282904642468536,0.52,0,25,6,ht29+TGFB
ht29+TGFB_SP1,0.009226789,1.0,0.035497393,0.3208228861347874,0.5714285714285714,0,7,6,ht29+TGFB
k562+TNFA_BIRC3,0.06407683,1.0,0.47869602,0.014981044309881286,1.0,0,4,6,k562+TNFA
k562+TNFA_TRAF2,0.0631942,0.92,0.12955266,0.9474183236868113,0.6,1,24,6,k562+TNFA
k562+TNFA_TRAF3,0.7210534,0.5294117647058824,0.2807468,0.5095285314078299,0.7647058823529411,8,9,6,k562+TNFA
mcf7+IFNB_ADAR,0.032156736,0.8,0.11391077,0.7021424977573645,0.4,1,24,6,mcf7+IFNB
mcf7+IFNB_IFNAR2,0.053824138,0.8,0.08391377,0.9205697008596503,0.48,0,25,6,mcf7+IFNB
mcf7+IFNB_MAP3K14,0.11575274,0.8,0.08478382,0.6393880490282505,0.6,0,25,6,mcf7+IFNB
mcf7+IFNB_TRIM21,0.1603141,0.76,0.16335063,0.6282686793816503,0.64,1,24,6,mcf7+IFNB
mcf7+IFNB_ZBP1,0.006510301,1.0,0.012221473,0.2969575136350275,0.3333333333333333,0,3,6,mcf7+IFNB
mcf7+IFNG_ATF5,0.016938778,1.0,0.12310912,0.07385011575524307,1.0,0,2,6,mcf7+IFNG
mcf7+IFNG_PLEK,0.033763684,1.0,0.094288364,0.409285864999583,0.5,0,2,6,mcf7+IFNG
mcf7+IFNG_PPARG,0.13842058,0.64,0.2051008,0.43011833278297146,0.56,0,25,6,mcf7+IFNG
a549+IFNG_NFKB1,0.001132224,1.0,0.17106271,0.014079897954265877,1.0,0,1,7,a549+IFNG
a549+IFNG_PTGES3,0.25450668,0.96,0.4927611,0.5161413020914161,0.72,0,25,7,a549+IFNG
a549+IFNG_SOX2,1.0970464,0.72,1.4075513,0.6591895078513318,0.88,0,25,7,a549+IFNG
a549+INS_CHUK,0.17897801,0.9166666666666666,0.14826064,0.5454065881910842,0.5833333333333334,0,12,7,a549+INS
a549+INS_MTOR,0.014008849,1.0,0.16843227,0.035018937802792194,1.0,0,2,7,a549+INS
a549+TNFA_BIRC3,0.71539855,1.0,0.9984473,1.1934965545734233,1.0,0,2,7,a549+TNFA
a549+TNFA_CASP3,0.041109256,0.96,0.15520543,0.46515373438872953,0.76,0,25,7,a549+TNFA
a549+TNFA_CASP8,0.08202317,0.92,0.3004503,1.1267799862870296,0.44,0,25,7,a549+TNFA
a549+TNFA_CHUK,0.12997067,1.0,0.37249646,0.8539174269064469,0.56,0,25,7,a549+TNFA
a549+TNFA_CSF1,0.28197965,0.76,0.11723066,0.41937926608151715,0.68,0,25,7,a549+TNFA
a549+TNFA_MTOR,0.10209983,0.84,0.09155068,0.6554903253342212,0.64,0,25,7,a549+TNFA
a549+TNFA_NFKB1,0.049539767,0.88,0.063175604,0.3284611385330698,0.64,0,25,7,a549+TNFA
hap1+IFNB_CEBPG,0.09922608,0.5,0.034872323,0.0042126414911345285,1.0,0,2,7,hap1+IFNB
hap1+IFNB_CRKL,0.19008031,0.56,0.16521637,1.4476771264098973,0.4,0,25,7,hap1+IFNB
hap1+IFNB_HERC5,0.20497154,0.6666666666666666,0.57789034,0.5537348032725049,0.5,0,6,7,hap1+IFNB
hap1+IFNB_ID1,0.033756975,0.72,0.069476224,0.5803164748078924,0.48,0,25,7,hap1+IFNB
hap1+IFNB_NFKB1,0.059345685,0.92,0.1759963,0.5608340945718304,0.36,0,25,7,hap1+IFNB
