,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNG_MAFF,0.39827818,0.3726957,1.0686417,0.8657743,0.0029644906,0.7828840363946792,0.07381272616240907,0.8975062619203816,0.9042370206955826,0.9925564220208288,2272,1849,,,,,,,,,,,,,a549+IFNG_MAFF,a549+IFNG,MAFF,False,True,0
a549+IFNG_MCRS1,0.37376016,0.37316358,1.0015987,0.84787554,0.16436574,0.713244469152876,0.3308886860911054,0.879707930542302,0.886711329564638,0.9921018275183485,2747,1337,0.6780234575271606,1.2619744539260864,0.5372719168663025,0.4487227201461792,0.670066773891449,0.24153846153846154,0.6646153846153847,0.6994978415776727,0.7060104353464326,0.990775499280596,18.0,7.0,a549+IFNG_MCRS1,a549+IFNG,MCRS1,False,True,0
a549+IFNG_MYC,0.41265726,0.38381743,1.0751394,0.86293113,-0.07747902,0.8027301532970904,0.004820276671582339,0.8961396720289226,0.9037621594573187,0.9915658258662067,2133,2010,,,,,,,,,,,,,a549+IFNG_MYC,a549+IFNG,MYC,False,True,0
a549+IFNG_NFKB1,0.41779062,0.37869278,1.1032442,0.86060965,-0.08458085,0.7889150808199761,0.07706281935420588,0.893646415602995,0.9031322475764471,0.9894967409270267,2297,1816,0.017072923481464386,0.007118873298168182,2.3982620239257812,,,,,,,,0.0,1.0,a549+IFNG_NFKB1,a549+IFNG,NFKB1,False,True,0
a549+IFNG_PARP12,0.45346332,0.38075727,1.1909511,0.8634403,-0.049691696,0.7575605546854121,0.11254450116711225,0.8957747734997108,0.9070978066225267,0.9875172963266488,2395,1746,0.4628233313560486,0.09676096588373184,4.783161640167236,,,,,,,,0.0,1.0,a549+IFNG_PARP12,a549+IFNG,PARP12,False,False,0
a549+IFNG_PIK3CA,0.43348056,0.38460326,1.127085,0.8559119,-0.16509603,0.7968399083569294,-0.021256542788273353,0.8906582803297204,0.9034316550214616,0.985861271717961,2166,1980,,,,,,,,,,,,,a549+IFNG_PIK3CA,a549+IFNG,PIK3CA,False,True,0
a549+IFNG_PLEK,0.41134757,0.38104615,1.0795217,0.8635649,-0.029948827,0.782202559072477,0.047415136991733255,0.8961244839258549,0.9040952600344976,0.9911836988191504,2218,1905,,,,,,,,,,,,,a549+IFNG_PLEK,a549+IFNG,PLEK,False,True,0
a549+IFNG_PPARG,0.3672856,0.37475446,0.98007,0.8484697,0.1595633,0.7221937084602841,0.30989684900883613,0.8802513248343324,0.8857036508906272,0.9938440740863921,2661,1393,1.064713716506958,1.4894541501998901,0.7148348093032837,0.2210182398557663,0.2602742314338684,0.18398773735104001,0.2676923076923077,0.5902885467649488,0.6722578235998972,0.878068690378331,22.0,3.0,a549+IFNG_PPARG,a549+IFNG,PPARG,False,True,0
a549+IFNG_PRDM1,0.4059157,0.37825385,1.0731304,0.8674202,-0.0071381177,0.7871168948153409,0.03275699897498289,0.8997311002268341,0.906972698537281,0.9920156380427705,2181,1974,0.11281848698854446,0.129644975066185,0.8702110052108765,,,,,,,,1.0,0.0,a549+IFNG_PRDM1,a549+IFNG,PRDM1,False,True,0
a549+IFNG_PTGES3,0.37501037,0.35191688,1.065622,0.86231977,0.036096834,0.7476727180443026,0.1738786590708579,0.8928931103983359,0.9007628654701608,0.9912632332287397,2450,1646,0.5378015637397766,0.5479322671890259,0.9815110564231873,0.15731258690357208,0.11065611243247986,0.2692307692307692,-0.22230769230769232,0.5721254776943651,0.6688520561998599,0.8553841950414938,9.0,16.0,a549+IFNG_PTGES3,a549+IFNG,PTGES3,False,True,0
a549+IFNG_PTPN11,0.40598008,0.37881613,1.0717075,0.8693045,-0.023708291,0.8078508056410474,0.014299256074546867,0.9015046886491088,0.9087770530734982,0.9919976363841999,2189,1965,,,,,,,,,,,,,a549+IFNG_PTPN11,a549+IFNG,PTPN11,False,True,0
